,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,color,quality
3473,7.4,0.17,0.4,5.5,0.037,34.0,161.0,0.9935,3.05,0.62,11.5,1.0,4
5251,8.2,0.33,0.39,2.5,0.074,29.0,48.0,0.99528,3.32,0.88,12.4,0.0,7
2320,9.0,0.82,0.14,2.6,0.089,9.0,23.0,0.9984,3.39,0.63,9.8,0.0,5
782,6.8,0.25,0.34,4.7,0.031,34.0,134.0,0.9927,3.21,0.38,10.6,1.0,6
521,6.6,0.78,0.5,1.5,0.045,30.0,133.0,0.99104,3.25,0.48,11.7,1.0,5
522,6.5,0.13,0.27,2.6,0.035,32.0,76.0,0.9914,3.21,0.76,11.3333333333333,1.0,6
4764,6.2,0.35,0.29,3.9,0.041,22.0,79.0,0.99005,3.1,0.59,12.0666666666667,1.0,6
2939,6.1,0.28,0.25,17.75,0.044,48.0,161.0,0.9993,3.34,0.48,9.5,1.0,5
4939,5.5,0.16,0.31,1.2,0.026,31.0,68.0,0.9898,3.33,0.44,11.6333333333333,1.0,6
5095,8.6,0.23,0.4,4.2,0.035,17.0,109.0,0.9947,3.14,0.53,9.7,1.0,5
2398,6.7,0.23,0.26,1.4,0.06,33.0,154.0,0.9934,3.24,0.56,9.5,1.0,6
2207,6.8,0.19,0.34,1.9,0.04,41.0,108.0,0.99,3.25,0.45,12.9,1.0,6
4766,6.0,0.24,0.33,2.5,0.026,31.0,85.0,0.99014,3.13,0.5,11.3,1.0,7
780,10.3,0.27,0.24,2.1,0.072,15.0,33.0,0.9956,3.22,0.66,12.8,0.0,6
6169,13.0,0.47,0.49,4.3,0.085,6.0,47.0,1.0021,3.3,0.68,12.7,0.0,6
4273,12.8,0.615,0.66,5.8,0.083,7.0,42.0,1.0022,3.07,0.73,10.0,0.0,7
1511,7.4,0.36,0.29,2.6,0.087,26.0,72.0,0.99645,3.39,0.68,11.0,0.0,5
1882,7.1,0.365,0.14,1.2,0.055,24.0,84.0,0.9941,3.15,0.43,8.9,1.0,5
651,8.4,0.67,0.19,2.2,0.093,11.0,75.0,0.99736,3.2,0.59,9.2,0.0,4
4713,6.8,0.22,0.36,1.2,0.052,38.0,127.0,0.9933,3.04,0.54,9.2,1.0,5
2196,6.1,0.27,0.43,7.5,0.049,65.0,243.0,0.9957,3.12,0.47,9.0,1.0,5
1801,8.4,0.29,0.29,1.05,0.032,4.0,55.0,0.9908,2.91,0.32,11.4,1.0,4
369,6.8,0.15,0.41,12.9,0.044,79.5,183.0,0.99742,3.24,0.78,10.2,1.0,6
5527,8.9,0.59,0.39,2.3,0.095,5.0,22.0,0.9986,3.37,0.58,10.3,0.0,5
6300,7.2,0.655,0.03,1.8,0.078,7.0,12.0,0.99587,3.34,0.39,9.5,0.0,5
118,7.2,0.2,0.3,2.0,0.039,43.0,188.0,0.9911,3.3,0.41,12.0,1.0,6
377,7.5,0.25,0.32,8.2,0.024,53.0,209.0,0.99563,3.12,0.46,10.8,1.0,6
216,5.8,0.2,0.16,1.4,0.042,44.0,99.0,0.98912,3.23,0.37,12.2,1.0,6
2216,6.9,0.3,0.21,7.2,0.045,54.0,190.0,0.99595,3.22,0.48,9.4,1.0,5
5556,8.2,0.31,0.4,2.2,0.0579999999999999,6.0,10.0,0.99536,3.31,0.68,11.2,0.0,7
1613,12.5,0.28,0.54,2.3,0.082,12.0,29.0,0.9997,3.11,1.36,9.8,0.0,7
2883,8.3,0.2,0.35,0.9,0.05,12.0,74.0,0.992,3.13,0.38,10.5,1.0,6
4532,8.1,0.31,0.24,1.6,0.032,10.0,67.0,0.9924,3.08,0.47,10.5,1.0,5
5680,6.1,0.32,0.25,2.3,0.071,23.0,58.0,0.99633,3.42,0.97,10.6,0.0,5
3632,6.3,0.27,0.29,12.2,0.044,59.0,196.0,0.99782,3.14,0.4,8.8,1.0,6
962,8.3,0.16,0.37,7.9,0.025,38.0,107.0,0.99306,2.93,0.37,11.9,1.0,6
5698,7.8,0.6,0.26,2.0,0.08,31.0,131.0,0.99622,3.21,0.52,9.9,1.0,5
2510,7.7,0.67,0.23,2.1,0.088,17.0,96.0,0.9962,3.32,0.48,9.5,0.0,5
5942,8.7,0.41,0.41,6.2,0.078,25.0,42.0,0.9953,3.24,0.77,12.6,0.0,7
4815,6.5,0.39,0.35,1.6,0.049,10.0,164.0,0.99516,3.35,0.51,9.7,1.0,5
4874,6.7,0.37,0.41,6.3,0.061,22.0,149.0,0.9953,3.16,0.47,9.6,1.0,6
359,8.0,0.59,0.71,17.35,0.038,61.0,228.0,1.0,2.95,0.75,9.3,1.0,5
3839,8.5,0.21,0.41,4.3,0.036,24.0,99.0,0.9947,3.18,0.53,9.7,1.0,6
6103,5.0,0.74,0.0,1.2,0.0409999999999999,16.0,46.0,0.99258,4.01,0.59,12.5,0.0,6
1246,6.1,0.105,0.31,1.3,0.037,55.0,145.0,0.9912,3.41,0.41,11.1,1.0,7
3408,6.7,0.31,0.31,4.9,0.031,20.0,151.0,0.9926,3.36,0.82,12.0,1.0,7
4400,10.7,0.4,0.37,1.9,0.081,17.0,29.0,0.99674,3.12,0.65,11.2,0.0,6
2415,9.2,0.54,0.31,2.3,0.112,11.0,38.0,0.99699,3.24,0.56,10.9,0.0,5
5889,5.0,1.04,0.24,1.6,0.05,32.0,96.0,0.9934,3.74,0.62,11.5,0.0,5
3694,6.0,0.28,0.49,6.8,0.048,61.0,222.0,0.9953,3.19,0.47,9.3,1.0,5
5347,10.1,0.31,0.44,2.3,0.08,22.0,46.0,0.9988,3.32,0.67,9.7,0.0,6
2185,6.7,0.3,0.29,2.8,0.025,37.0,107.0,0.99159,3.31,0.63,11.3,1.0,7
4272,9.0,0.22,0.49,10.4,0.048,52.0,195.0,0.9987,3.31,0.44,10.2,1.0,6
2567,5.1,0.305,0.13,1.75,0.036,17.0,73.0,0.99,3.4,0.51,12.3333333333333,1.0,5
3423,6.6,0.28,0.36,1.7,0.038,22.0,101.0,0.9912,3.29,0.57,11.6,1.0,6
2037,7.2,0.39,0.44,2.6,0.066,22.0,48.0,0.99494,3.3,0.84,11.5,0.0,6
5381,8.2,1.33,0.0,1.7,0.081,3.0,12.0,0.9964,3.53,0.49,10.9,0.0,5
772,6.1,0.4,0.31,0.9,0.048,23.0,170.0,0.993,3.22,0.77,9.5,1.0,6
1284,10.8,0.5,0.46,2.5,0.073,5.0,27.0,1.0001,3.05,0.64,9.5,0.0,5
5822,7.2,0.63,0.0,1.9,0.0969999999999999,14.0,38.0,0.99675,3.37,0.58,9.0,0.0,6
3562,8.8,0.66,0.26,1.7,0.074,4.0,23.0,0.9971,3.15,0.74,9.2,0.0,5
5995,6.2,0.46,0.29,2.1,0.074,32.0,98.0,0.99578,3.33,0.62,9.8,1.0,5
2587,6.9,0.32,0.26,2.3,0.03,11.0,103.0,0.99106,3.06,0.42,11.1,1.0,6
5788,9.1,0.52,0.33,1.3,0.07,9.0,30.0,0.9978,3.24,0.6,9.3,0.0,5
1414,8.6,0.16,0.38,3.4,0.04,41.0,143.0,0.9932,2.95,0.39,10.2,1.0,6
1234,6.2,0.21,0.27,1.7,0.038,41.0,150.0,0.9933,3.49,0.71,10.5,1.0,7
398,6.6,0.17,0.28,1.1,0.034,55.0,108.0,0.98939,3.0,0.52,11.9,1.0,7
435,6.8,0.26,0.48,6.2,0.049,55.0,182.0,0.99582,3.21,0.45,9.4,1.0,6
1674,9.8,0.93,0.45,8.6,0.052,34.0,187.0,0.9994,3.12,0.59,10.2,1.0,4
3299,5.6,0.245,0.32,1.1,0.047,24.0,152.0,0.9927,3.12,0.42,9.3,1.0,6
365,8.5,0.56,0.74,17.85,0.051,51.0,243.0,1.0005,2.99,0.7,9.2,1.0,5
4144,6.5,0.28,0.25,4.8,0.029,54.0,128.0,0.99074,3.17,0.44,12.2,1.0,7
4080,7.4,0.965,0.0,2.2,0.088,16.0,32.0,0.99756,3.58,0.67,10.2,0.0,5
231,6.5,0.28,0.29,2.7,0.038,26.0,107.0,0.9912,3.32,0.41,11.6,1.0,7
5799,8.8,0.64,0.17,2.9,0.084,25.0,130.0,0.99818,3.23,0.54,9.6,0.0,5
147,7.3,0.32,0.35,1.4,0.05,8.0,163.0,0.99244,3.24,0.42,10.7,1.0,5
5560,10.6,1.025,0.43,2.8,0.08,21.0,84.0,0.9985,3.06,0.57,10.1,0.0,5
3088,8.3,0.76,0.29,4.2,0.075,12.0,16.0,0.9965,3.45,0.68,11.5,0.0,6
4989,4.8,0.17,0.28,2.9,0.03,22.0,111.0,0.9902,3.38,0.34,11.3,1.0,7
3554,9.0,0.46,0.31,2.8,0.093,19.0,98.0,0.99815,3.32,0.63,9.5,0.0,6
407,6.6,0.28,0.23,10.4,0.049,45.0,190.0,0.99754,3.12,0.51,8.8,1.0,5
5848,8.9,0.28,0.45,1.7,0.067,7.0,12.0,0.99354,3.25,0.55,12.3,0.0,7
3692,7.7,0.26,0.3,1.7,0.059,20.0,38.0,0.9949,3.29,0.47,10.8,0.0,6
3456,7.3,0.16,0.35,1.5,0.036,29.0,108.0,0.99342,3.27,0.51,10.2,1.0,6
2090,7.6,0.32,0.58,16.75,0.05,43.0,163.0,0.9999,3.15,0.54,9.2,1.0,5
86,4.9,0.235,0.27,11.75,0.03,34.0,118.0,0.9954,3.07,0.5,9.4,1.0,6
3576,6.3,0.23,0.49,7.1,0.05,67.0,210.0,0.9951,3.23,0.34,9.5,1.0,5
3271,6.2,0.34,0.29,7.6,0.047,45.0,232.0,0.9955,3.35,0.62,10.0,1.0,6
844,10.6,0.5,0.45,2.6,0.119,34.0,68.0,0.99708,3.23,0.72,10.9,0.0,6
1031,6.3,0.2,0.4,1.5,0.037,35.0,107.0,0.9917,3.46,0.5,11.4,1.0,6
5670,7.2,0.835,0.0,2.0,0.166,4.0,11.0,0.99608,3.39,0.52,10.0,0.0,5
4567,6.6,0.29,0.44,9.0,0.053,62.0,178.0,0.99685,3.02,0.45,8.9,1.0,5
4195,5.6,0.32,0.33,7.4,0.037,25.0,95.0,0.99268,3.25,0.49,11.1,1.0,6
2987,8.5,0.34,0.4,4.7,0.055,3.0,9.0,0.99738,3.38,0.66,11.6,0.0,7
4588,6.8,0.23,0.31,2.8,0.047,40.0,122.0,0.99126,3.06,0.64,10.9,1.0,7
2628,7.9,0.35,0.24,15.6,0.072,44.0,229.0,0.99785,3.03,0.59,10.5,1.0,6
6120,6.2,0.64,0.09,2.5,0.081,15.0,26.0,0.99538,3.57,0.63,12.0,0.0,5
3244,6.6,0.21,0.39,2.3,0.041,31.0,102.0,0.99221,3.22,0.58,10.9,1.0,7
855,6.2,0.12,0.34,1.5,0.045,43.0,117.0,0.9939,3.42,0.51,9.0,1.0,6
3926,7.8,0.815,0.01,2.6,0.074,48.0,90.0,0.99621,3.38,0.62,10.8,0.0,5
3003,6.4,0.28,0.56,1.7,0.156,49.0,106.0,0.99354,3.1,0.37,9.2,1.0,6
3984,7.5,0.35,0.28,9.6,0.051,26.0,157.0,0.9969,3.12,0.53,9.2,1.0,6
78,6.5,0.32,0.34,5.7,0.044,27.0,91.0,0.99184,3.28,0.6,12.0,1.0,7
2992,7.4,0.27,0.49,1.1,0.037,33.0,156.0,0.992,3.15,0.54,11.1,1.0,6
2247,7.2,0.39,0.32,1.8,0.065,34.0,60.0,0.99714,3.46,0.78,9.9,0.0,5
6207,7.3,0.59,0.26,2.0,0.08,17.0,104.0,0.99584,3.28,0.52,9.9,1.0,5
4680,6.1,0.38,0.42,5.0,0.016,31.0,113.0,0.99007,3.15,0.31,12.4,1.0,7
5782,6.5,0.885,0.0,2.3,0.166,6.0,12.0,0.99551,3.56,0.51,10.8,0.0,5
5825,7.0,0.49,0.49,5.6,0.06,26.0,121.0,0.9974,3.34,0.76,10.5,1.0,5
758,6.9,0.25,0.4,1.3,0.038,22.0,101.0,0.9901,3.03,0.39,11.4,1.0,6
5817,9.9,0.32,0.56,2.0,0.073,3.0,8.0,0.99534,3.15,0.73,11.4,0.0,6
3355,6.5,0.52,0.17,1.4,0.047,5.0,26.0,0.9932,3.26,0.32,10.0,1.0,4
788,7.5,0.42,0.34,4.3,0.04,34.0,108.0,0.99155,3.14,0.45,12.8,1.0,8
2279,5.7,0.36,0.21,6.7,0.038,51.0,166.0,0.9941,3.29,0.63,10.0,1.0,6
5318,6.2,0.3,0.32,1.2,0.052,32.0,185.0,0.99266,3.28,0.44,10.1,1.0,5
3897,6.3,0.22,0.3,2.0,0.05,23.0,120.0,0.99204,3.24,0.47,10.4,1.0,6
4112,14.0,0.41,0.63,3.8,0.089,6.0,47.0,1.0014,3.01,0.81,10.8,0.0,6
4480,6.0,0.495,0.27,5.0,0.157,17.0,129.0,0.99396,3.03,0.36,9.3,1.0,5
6229,6.2,0.45,0.2,1.6,0.069,3.0,15.0,0.9958,3.41,0.56,9.2,0.0,5
5037,6.4,0.33,0.24,9.8,0.041,29.0,109.0,0.9956,3.29,0.47,10.1,1.0,6
3631,6.8,0.32,0.3,3.3,0.029,15.0,80.0,0.99061,3.33,0.63,12.6,1.0,7
4731,7.1,0.47,0.24,6.0,0.044,11.0,77.0,0.9956,3.21,0.56,9.7,1.0,5
4149,6.1,0.44,0.28,4.25,0.032,43.0,132.0,0.9916,3.26,0.47,11.2666666666667,1.0,7
2176,6.7,0.32,0.32,1.7,0.031,31.0,114.0,0.98946,3.12,0.35,12.5,1.0,6
424,5.8,0.24,0.28,1.4,0.038,40.0,76.0,0.98711,3.1,0.29,13.9,1.0,7
392,7.6,0.21,0.49,2.5,0.047,20.0,130.0,0.99178,3.15,0.48,11.1,1.0,5
4717,8.2,0.57,0.26,2.2,0.06,28.0,65.0,0.9959,3.3,0.43,10.1,0.0,5
6028,5.9,0.46,0.0,1.9,0.077,25.0,44.0,0.99385,3.5,0.53,11.2,0.0,5
2239,5.9,0.645,0.12,2.0,0.075,32.0,44.0,0.99547,3.57,0.71,10.2,0.0,5
104,6.6,0.38,0.36,9.2,0.061,42.0,214.0,0.9976,3.31,0.56,9.4,1.0,5
2672,6.6,0.895,0.04,2.3,0.068,7.0,13.0,0.99582,3.53,0.58,10.8,0.0,6
5793,8.3,0.78,0.1,2.6,0.081,45.0,87.0,0.9983,3.48,0.53,10.0,0.0,5
4262,6.1,0.32,0.25,1.8,0.086,5.0,32.0,0.99464,3.36,0.44,10.1,0.0,5
3493,8.0,0.29,0.49,11.7,0.035,40.0,131.0,0.9958,3.14,0.34,10.8,1.0,5
1459,5.9,0.21,0.24,12.1,0.044,53.0,165.0,0.9969,3.25,0.39,9.5,1.0,5
4557,7.1,0.18,0.26,1.3,0.041,20.0,71.0,0.9926,3.04,0.74,9.9,1.0,6
4182,6.6,0.26,0.36,1.2,0.035,43.0,126.0,0.99094,3.01,0.63,11.4,1.0,6
3835,8.2,0.37,0.36,1.0,0.034,17.0,93.0,0.9906,3.04,0.32,11.7,1.0,8
5508,7.7,0.715,0.01,2.1,0.064,31.0,43.0,0.99371,3.41,0.57,11.8,0.0,6
6032,9.5,0.86,0.26,1.9,0.079,13.0,28.0,0.99712,3.25,0.62,10.0,0.0,5
2355,8.0,0.14,0.33,1.2,0.045,71.0,162.0,0.9914,3.07,0.47,11.0,1.0,6
2442,7.6,0.35,0.46,14.7,0.047,33.0,151.0,0.99709,3.03,0.53,10.3,1.0,5
4919,6.4,0.18,0.28,17.05,0.047,53.0,139.0,0.99724,3.25,0.35,10.5,1.0,6
464,8.7,0.34,0.46,13.8,0.055,68.0,198.0,0.9988,3.36,0.37,9.5,1.0,6
163,6.5,0.18,0.33,8.0,0.051,16.0,131.0,0.9965,3.28,0.44,8.7,1.0,7
5475,12.4,0.4,0.51,2.0,0.059,6.0,24.0,0.9994,3.04,0.6,9.3,0.0,6
6072,6.5,0.9,0.0,1.6,0.052,9.0,17.0,0.99467,3.5,0.63,10.9,0.0,6
6282,7.8,0.63,0.48,1.7,0.1,14.0,96.0,0.9961,3.19,0.62,9.5,0.0,5
2009,7.6,0.31,0.49,13.4,0.062,50.0,191.0,0.9989,3.22,0.53,9.0,1.0,4
3084,4.9,0.42,0.0,2.1,0.048,16.0,42.0,0.99154,3.71,0.74,14.0,0.0,7
900,6.1,0.17,0.27,1.5,0.056,45.0,135.0,0.9924,3.2,0.43,10.2,1.0,6
4949,6.6,0.25,0.39,1.45,0.04,40.0,89.0,0.9911,3.35,0.4,11.4,1.0,7
2293,6.2,0.47,0.19,8.3,0.029,24.0,142.0,0.992,3.22,0.45,12.3,1.0,6
3716,8.0,0.55,0.42,12.6,0.211,37.0,213.0,0.9988,2.99,0.56,9.3,1.0,5
5253,6.7,0.24,0.29,14.9,0.053,55.0,136.0,0.99839,3.03,0.52,9.0,1.0,5
1764,8.3,0.16,0.48,1.7,0.057,31.0,98.0,0.9943,3.15,0.41,10.3,1.0,6
1549,6.9,0.18,0.38,8.1,0.049,44.0,176.0,0.9958,3.3,0.54,9.8,1.0,6
3029,6.5,0.22,0.32,2.2,0.028,36.0,92.0,0.99076,3.27,0.59,11.9,1.0,7
4770,5.9,0.32,0.39,3.3,0.114,24.0,140.0,0.9934,3.09,0.45,9.2,1.0,6
2044,6.0,0.14,0.37,1.2,0.032,63.0,148.0,0.99185,3.32,0.44,11.2,1.0,5
767,5.8,0.27,0.2,7.3,0.04,42.0,145.0,0.99442,3.15,0.48,9.8,1.0,5
1508,6.3,0.33,0.2,17.9,0.066,36.0,161.0,0.9991,3.14,0.51,8.8,1.0,5
6160,8.5,0.46,0.59,1.4,0.414,16.0,45.0,0.99702,3.03,1.34,9.2,0.0,5
5261,10.4,0.44,0.42,1.5,0.145,34.0,48.0,0.99832,3.38,0.86,9.9,0.0,3
4260,6.0,0.21,0.38,0.8,0.02,22.0,98.0,0.98941,3.26,0.32,11.8,1.0,6
3292,7.4,0.61,0.01,2.0,0.074,13.0,38.0,0.99748,3.48,0.65,9.8,0.0,5
819,8.4,0.36,0.36,11.1,0.032,21.0,132.0,0.99313,2.95,0.39,13.0,1.0,6
1403,11.1,0.44,0.42,2.2,0.064,14.0,19.0,0.99758,3.25,0.57,10.4,0.0,6
1382,7.0,0.24,0.36,2.8,0.034,22.0,112.0,0.99,3.19,0.38,12.6,1.0,8
2148,6.7,0.31,0.42,6.4,0.057,25.0,148.0,0.9955,3.16,0.45,9.6,1.0,5
1638,5.8,0.23,0.27,1.8,0.043,24.0,69.0,0.9933,3.38,0.31,9.4,1.0,6
6094,11.6,0.42,0.53,3.3,0.105,33.0,98.0,1.001,3.2,0.95,9.2,0.0,5
399,5.8,0.26,0.29,1.0,0.042,35.0,101.0,0.99044,3.36,0.48,11.4,1.0,7
882,7.1,0.22,0.33,2.8,0.033,48.0,153.0,0.9899,3.15,0.38,12.7,1.0,7
3565,6.7,0.27,0.12,1.3,0.041,62.0,138.0,0.9921,3.21,0.42,10.0,1.0,6
1179,12.6,0.39,0.49,2.5,0.08,8.0,20.0,0.9992,3.07,0.82,10.3,0.0,6
4304,7.0,0.24,0.36,4.9,0.083,10.0,133.0,0.9942,3.33,0.37,10.8,1.0,6
2130,7.6,0.51,0.24,1.2,0.04,10.0,104.0,0.992,3.05,0.29,10.8,1.0,6
456,6.8,0.23,0.29,15.4,0.073,56.0,173.0,0.9984,3.06,0.41,8.7,1.0,6
1950,6.6,0.34,0.28,1.3,0.035,32.0,90.0,0.9916,3.1,0.42,10.7,1.0,6
689,5.8,0.17,0.34,1.8,0.045,96.0,170.0,0.99035,3.38,0.9,11.8,1.0,8
4998,12.0,0.39,0.66,3.0,0.093,12.0,30.0,0.9996,3.18,0.63,10.8,0.0,7
1953,6.9,0.23,0.41,8.0,0.03,30.0,114.0,0.99368,3.22,0.54,11.0,1.0,6
2710,6.7,0.62,0.21,1.9,0.079,8.0,62.0,0.997,3.52,0.58,9.3,0.0,6
4690,6.8,0.56,0.03,1.7,0.084,18.0,35.0,0.9968,3.44,0.63,10.0,0.0,6
5491,10.0,0.48,0.24,2.7,0.102,13.0,32.0,1.0,3.28,0.56,10.0,0.0,6
1884,7.0,0.56,0.17,1.7,0.065,15.0,24.0,0.99514,3.44,0.68,10.55,0.0,7
5156,10.0,0.91,0.42,1.6,0.056,34.0,181.0,0.9968,3.11,0.46,10.0,1.0,4
2494,6.9,0.635,0.17,2.4,0.241,6.0,18.0,0.9961,3.4,0.59,10.3,0.0,6
3036,7.1,0.44,0.62,11.8,0.044,52.0,152.0,0.9975,3.12,0.46,8.7,1.0,6
3603,6.3,0.28,0.34,8.1,0.038,44.0,129.0,0.99248,3.26,0.29,12.1,1.0,6
845,9.9,0.63,0.24,2.4,0.077,6.0,33.0,0.9974,3.09,0.57,9.4,0.0,5
542,6.9,0.25,0.3,4.1,0.054,23.0,116.0,0.994,2.99,0.38,9.4,1.0,6
3724,6.4,0.27,0.32,4.5,0.24,61.0,174.0,0.9948,3.12,0.48,9.4,1.0,5
3679,6.3,0.28,0.3,3.1,0.039,24.0,115.0,0.9942,3.05,0.43,8.6,1.0,5
5877,9.9,0.27,0.49,5.0,0.0819999999999999,9.0,17.0,0.99484,3.19,0.52,12.5,0.0,7
4333,6.7,0.36,0.28,8.3,0.034,29.0,81.0,0.99151,2.96,0.39,12.5,1.0,6
2964,7.0,0.2,0.35,8.8,0.037,31.0,103.0,0.99388,3.13,0.49,11.0,1.0,6
2529,8.1,0.24,0.33,10.2,0.048,46.0,141.0,0.9972,3.16,0.48,10.3,1.0,6
1048,7.3,0.22,0.49,9.9,0.031,48.0,161.0,0.9937,3.01,0.28,11.2,1.0,6
1960,6.6,0.56,0.15,10.0,0.037,38.0,157.0,0.99642,3.28,0.52,9.4,1.0,5
2530,8.0,0.2,0.44,1.0,0.057,24.0,111.0,0.99158,3.09,0.32,11.2,1.0,6
4651,8.4,0.19,0.43,2.1,0.052,20.0,104.0,0.994,2.85,0.46,9.5,1.0,5
237,7.0,0.21,0.34,8.0,0.057,19.0,101.0,0.9954,2.99,0.59,9.4,1.0,5
1133,11.1,0.39,0.54,2.7,0.095,21.0,101.0,1.0001,3.13,0.51,9.5,0.0,5
5238,5.7,0.39,0.25,4.9,0.033,49.0,113.0,0.98966,3.26,0.58,13.1,1.0,7
4669,6.3,0.25,0.44,11.6,0.041,48.0,195.0,0.9968,3.18,0.52,9.5,1.0,5
4745,7.4,0.28,0.36,14.6,0.048,35.0,161.0,0.9968,3.14,0.56,10.6,1.0,5
2978,6.9,0.75,0.13,6.3,0.036,19.0,50.0,0.99312,3.09,0.25,11.1,1.0,4
4259,7.9,0.29,0.49,2.2,0.096,21.0,59.0,0.99714,3.31,0.67,10.1,0.0,6
3919,7.5,0.53,0.06,2.6,0.086,20.0,44.0,0.9965,3.38,0.59,10.7,0.0,6
3138,5.8,0.34,0.21,7.2,0.041,48.0,146.0,0.99441,3.16,0.49,9.8,1.0,5
5646,6.7,0.28,0.28,2.4,0.012,36.0,100.0,0.99064,3.26,0.39,11.7,1.0,7
4073,6.0,0.45,0.65,9.7,0.08,11.0,159.0,0.9956,3.04,0.48,9.4,1.0,5
5436,6.8,0.59,0.1,1.7,0.063,34.0,53.0,0.9958,3.41,0.67,9.7,0.0,5
3229,7.3,0.91,0.1,1.8,0.074,20.0,56.0,0.99672,3.35,0.56,9.2,0.0,5
1826,7.6,0.43,0.31,2.1,0.069,13.0,74.0,0.9958,3.26,0.54,9.9,0.0,6
593,5.8,0.27,0.27,12.3,0.045,55.0,170.0,0.9972,3.28,0.42,9.3,1.0,6
2725,9.3,0.4,0.49,2.5,0.085,38.0,142.0,0.9978,3.22,0.55,9.4,0.0,5
4137,6.0,0.21,0.24,12.1,0.05,55.0,164.0,0.997,3.34,0.39,9.4,1.0,5
560,7.8,0.3,0.36,4.6,0.024,20.0,198.0,0.99222,3.06,0.66,11.9,1.0,6
4955,7.6,0.39,0.46,11.7,0.084,55.0,170.0,0.99773,2.91,0.51,9.0,1.0,5
243,6.7,0.16,0.34,1.6,0.026,27.0,109.0,0.9934,3.34,0.58,10.1,1.0,6
4372,6.4,0.31,0.09,1.4,0.066,15.0,28.0,0.99459,3.42,0.7,10.0,0.0,7
405,7.8,0.53,0.01,1.6,0.077,3.0,19.0,0.995,3.16,0.46,9.8,0.0,5
1442,6.0,0.28,0.35,1.9,0.037,16.0,120.0,0.9933,3.16,0.69,10.6,1.0,5
261,6.0,0.24,0.34,1.0,0.036,52.0,184.0,0.99097,3.44,0.44,11.45,1.0,6
5775,7.1,0.685,0.35,2.0,0.088,9.0,92.0,0.9963,3.28,0.62,9.4,0.0,5
1689,6.4,0.46,0.08,4.9,0.046,34.0,144.0,0.99445,3.1,0.56,10.0,1.0,5
1725,6.5,0.18,0.34,1.6,0.04,43.0,148.0,0.9912,3.32,0.59,11.5,1.0,8
2496,6.9,0.4,0.42,6.2,0.066,41.0,176.0,0.99552,3.12,0.54,9.4,1.0,5
4240,7.1,0.735,0.16,1.9,0.1,15.0,77.0,0.9966,3.27,0.64,9.3,0.0,5
340,5.9,0.27,0.29,11.4,0.036,31.0,115.0,0.9949,3.35,0.48,10.5,1.0,8
4402,6.5,0.23,0.38,1.3,0.032,29.0,112.0,0.99298,3.29,0.54,9.7,1.0,5
1601,7.1,0.13,0.4,1.2,0.047,54.0,134.0,0.9932,3.3,0.97,9.8,1.0,7
3725,8.4,0.24,0.49,7.4,0.039,46.0,108.0,0.9934,3.03,0.33,11.9,1.0,7
6274,11.1,0.31,0.53,2.2,0.06,3.0,10.0,0.99572,3.02,0.83,10.9,0.0,7
2785,5.8,0.315,0.19,19.4,0.031,28.0,106.0,0.99704,2.97,0.4,10.55,1.0,6
1523,8.9,0.28,0.45,1.7,0.067,7.0,12.0,0.99354,3.25,0.55,12.3,0.0,7
4710,7.4,0.38,0.27,7.5,0.041,24.0,160.0,0.99535,3.17,0.43,10.0,1.0,5
6228,7.7,0.965,0.1,2.1,0.1119999999999999,11.0,22.0,0.9963,3.26,0.5,9.5,0.0,5
5870,7.2,0.62,0.06,2.5,0.078,17.0,84.0,0.99746,3.51,0.53,9.7,0.0,5
1766,8.0,0.715,0.22,2.3,0.075,13.0,81.0,0.99688,3.24,0.54,9.5,0.0,6
4037,6.2,0.33,0.19,5.6,0.042,22.0,143.0,0.99425,3.15,0.63,9.9,1.0,5
4999,9.8,1.24,0.34,2.0,0.079,32.0,151.0,0.998,3.15,0.53,9.5,0.0,5
5128,10.2,0.49,0.63,2.9,0.072,10.0,26.0,0.9968,3.16,0.78,12.5,0.0,7
5921,9.4,0.27,0.53,2.4,0.074,6.0,18.0,0.9962,3.2,1.13,12.0,0.0,7
363,6.7,0.29,0.49,4.7,0.034,35.0,156.0,0.9945,3.13,0.45,9.9,1.0,6
6267,9.0,0.36,0.52,2.1,0.111,5.0,10.0,0.99568,3.31,0.62,11.3,0.0,6
5695,8.7,0.54,0.26,2.5,0.0969999999999999,7.0,31.0,0.9976,3.27,0.6,9.3,0.0,6
5044,6.5,0.51,0.15,3.0,0.064,12.0,27.0,0.9929,3.33,0.59,12.8,0.0,6
5849,7.5,0.6,0.03,1.8,0.095,25.0,99.0,0.995,3.35,0.54,10.1,0.0,5
2562,6.6,0.31,0.28,1.4,0.035,28.0,107.0,0.98836,3.0,0.4,13.2,1.0,6
4410,6.7,0.12,0.36,2.3,0.039,43.0,125.0,0.99229,3.07,0.67,10.1,1.0,7
5808,7.6,0.68,0.02,1.3,0.072,9.0,20.0,0.9965,3.17,1.08,9.2,0.0,4
3083,6.6,0.27,0.3,1.9,0.025,14.0,153.0,0.9928,3.29,0.62,10.5,1.0,6
5834,11.2,0.5,0.74,5.15,0.1,5.0,17.0,0.9996,3.22,0.62,11.2,0.0,5
2102,12.4,0.35,0.49,2.6,0.079,27.0,69.0,0.9994,3.12,0.75,10.4,0.0,6
